,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
83,MuseumModernArt,"🌷500 tulips are blooming in our Sculpture Garden right now 🌷

We wish we could be enjoying the blooms together. Architect Philip Johnson envisioned his 1953 design as an urban piazza, perfect for art and socializing. Step inside our #MoMAVirtualViews: https://t.co/yCpei9sQ8o https://t.co/yLckUCu7bs",2020-05-07 22:57:03,48,237,5357233
84,MuseumModernArt,Tonight! Share your memories of the #MoMAGarden in a live Q&amp;A with curator Ann Temkin and deputy director Peter Reed. 8:00 p.m. EDT. https://t.co/yCpei9sQ8o https://t.co/3KQvIH2ZMO,2020-05-07 21:22:29,6,51,5357233
85,MuseumModernArt,"“80 years full of artists, full of experiments, full of protests, full of love.” Security Supervisor Chet Gold introduces #MoMAVirtualViews from our Sculpture Garden, where he and our amazing staff are safeguarding the art for your return. Step inside: https://t.co/yCpei9sQ8o https://t.co/hs23QI3fH8",2020-05-07 21:22:28,17,97,5357233
86,MuseumModernArt,"Ending the day with a bit of brightness 🌈

In this cityscape, André Derain rendered the customary gray of the London sky over Charing Cross Bridge with dramatic color. For Derain and his fellow Fauvist artists, ""colors became charges of dynamite.” https://t.co/GnDzwJIM7X",2020-05-05 21:25:02,124,493,5357233
87,MuseumModernArt,"Drop in to intimate conversations with artists and curators every Wednesday  in our new Instagram Live series. Curator Paola Antonelli (@curiousoctopus) kicks things off tomorrow, May 6, at 12pm EDT with information designer @giorgialupi https://t.co/WQjj5ojFNh",2020-05-05 19:15:08,32,123,5357233
88,MuseumModernArt,"Take a second look at your surroundings. The living room in this 2017 photograph by Farah Al Qasimi is overloaded with textures, patterns, and nuanced color. Discover more works that explore being inside selected by one of our curators: https://t.co/QGcU7YNL6l https://t.co/1U7Ddyj46f",2020-05-05 17:44:02,16,107,5357233
89,MuseumModernArt,"Relive some of the wildest moments in our Sculpture Garden’s history, follow a guided meditation, see huge works installed with cranes, share your stories during a live Q&amp;A, and more in our next #MoMAVirtualViews, launching May 7 https://t.co/nYQmNiMdPu https://t.co/58DYrm8hIY",2020-05-04 21:19:23,47,126,5357233
90,MuseumModernArt,"Plus, our staff share their favorite art-themed kid’s books, from childhood favorites to parents’ picks for toddlers or teens: https://t.co/8kFtHeGXUN
#BookWeek2020atHome https://t.co/4aKKSkqxBA",2020-05-04 19:32:59,17,65,5357233
91,MuseumModernArt,"Celebrate Children’s Book Week with educational and beautifully illustrated books from the Design Store that will inspire and delight your kids: https://t.co/o4t6a0R2pF
#BookWeek2020atHome https://t.co/2P5IUcabev",2020-05-04 19:32:59,17,78,5357233
92,MuseumModernArt,"“Leonora Carrington’s work presents a dreamscape that reminds me that every piece of art can be an expression of hope, a promise of the wide and green world beyond.” —Naomi Falk

Our staff share #MoMAPicks—artworks they look to for solace and perspective: https://t.co/ElTKpAaBmi https://t.co/tc5xazrqko",2020-05-04 17:27:02,57,218,5357233
93,MuseumModernArt,"We’re capping off our #MoMAVirtualViews with a message of compassion and respect. Dorothea Lange gained her subjects' trust by letting them get to know her before producing the camera. Lange's granddaughter reflects on “Six Tenant Farmers Without Farms."" https://t.co/nkxTxCByaJ https://t.co/yfn7WGaIzU",2020-05-03 22:48:03,24,100,5357233
